56.59%,52.62%,38.87%,62.65%,
56.59%,52.62%,38.87%,62.65%,
56.59%,52.62%,38.87%,62.65%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
57.06%,52.79%,39.04%,62.89%,
57.36%,52.96%,39.29%,62.89%,
57.36%,52.96%,39.29%,62.89%,
57.42%,53.07%,39.58%,63.13%,
57.80%,53.24%,39.89%,64.10%,
57.80%,53.52%,40.11%,64.10%,
57.80%,53.52%,40.11%,64.10%,
